,Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Normalized Sales,Category
0,1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,0.06329113924050633,Madium
1,2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,0.4936708860759494,High
2,3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,0.002531645569620253,Low
3,4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,0.24050632911392406,Madium
4,5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,0.0379746835443038,Low
5,6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,0.002531645569620253,Low
6,7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,0.012658227848101266,Low
7,8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,0.0379746835443038,Low
8,9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,0.2911392405063291,
9,10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,0.08860759493670886,Madium
10,11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,0.0379746835443038,Low
11,12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,0.02531645569620253,Low
12,13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,0.7468354430379747,High
13,14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,0.04810126582278481,Madium
14,15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,1.0,High
15,16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,0.7468354430379747,High
16,17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,0.0379746835443038,Low
17,18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,0.012658227848101266,Low
18,19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,0.012658227848101266,Low
19,20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,0.4430379746835443,
20,21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,0.24050632911392406,Madium
21,22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,0.0379746835443038,Low
22,23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,0.04810126582278481,Madium
23,24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,0.13924050632911392,Madium
24,25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,0.012658227848101266,Low
25,26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,0.4936708860759494,High
26,27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,0.012658227848101266,Low
27,28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,0.24050632911392406,Madium
28,29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,0.002531645569620253,Low
29,30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,0.4430379746835443,
30,31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,0.5949367088607594,High
31,32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,0.03291139240506329,Low
32,33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,0.0379746835443038,Low
33,34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,0.06329113924050633,Madium
34,35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,0.4430379746835443,
35,36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,0.4430379746835443,
36,37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,0.02531645569620253,Low
37,38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,0.08860759493670886,Madium
38,39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,0.04810126582278481,Madium
39,40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,0.012658227848101266,Low
40,41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,0.012658227848101266,Low
41,42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,0.4430379746835443,
42,43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,0.13924050632911392,Madium
43,44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,0.0,Low
44,45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,0.002531645569620253,Low
45,46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,0.5949367088607594,High
46,47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,0.7468354430379747,High
47,48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,0.4430379746835443,
48,49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,0.4936708860759494,High
49,50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,0.02531645569620253,Low
50,51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,0.02531645569620253,Low
51,52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,0.13924050632911392,Madium
52,53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,0.0379746835443038,Low
53,54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,0.7468354430379747,High
54,55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,0.04810126582278481,Madium
55,56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,0.4430379746835443,
56,57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,0.002531645569620253,Low
57,58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,0.5949367088607594,High
58,59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,0.012658227848101266,Low
59,60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,0.06329113924050633,Madium
60,61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,0.08860759493670886,Madium
61,62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,0.0379746835443038,Low
62,63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,0.012658227848101266,Low
63,64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,0.0379746835443038,Low
64,65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,1.0,High
65,66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,0.002531645569620253,Low
66,67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,0.5949367088607594,High
67,68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,0.13924050632911392,Madium
68,69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,0.02531645569620253,Low
69,70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,0.13924050632911392,Madium
70,71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,0.0379746835443038,Low
71,72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,1.0,High
72,73,2023-08-21,CUST073,Male,29,Electronics,3,30,90,0.03291139240506329,Low
73,74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000,1.0,High
74,75,2023-07-06,CUST075,Male,61,Beauty,4,50,200,0.08860759493670886,Madium
75,76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,0.0379746835443038,Low
76,77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,0.0379746835443038,Low
77,78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,0.7468354430379747,High
78,79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,0.13924050632911392,Madium
79,80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,0.017721518987341773,Low
80,81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,0.012658227848101266,Low
