,Unnamed: 0,Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Normalized Sales,Category,Month,Year
0,0,1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,0.0632911392405063,Madium,11,2023
1,1,2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,0.4936708860759494,High,2,2023
2,2,3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,0.0025316455696202,Low,1,2023
3,3,4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,0.240506329113924,Madium,5,2023
4,4,5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,0.0379746835443038,Low,5,2023
5,5,6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,0.0025316455696202,Low,4,2023
6,6,7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,0.0126582278481012,Low,3,2023
7,7,8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,0.0379746835443038,Low,2,2023
8,8,9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,0.2911392405063291,,12,2023
9,9,10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,0.0886075949367088,Madium,10,2023
10,10,11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,0.0379746835443038,Low,2,2023
11,11,12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,0.0253164556962025,Low,10,2023
12,12,13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,0.7468354430379747,High,8,2023
13,13,14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,0.0481012658227848,Madium,1,2023
14,14,15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,1.0,High,1,2023
15,15,16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,0.7468354430379747,High,2,2023
16,16,17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,0.0379746835443038,Low,4,2023
17,17,18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,0.0126582278481012,Low,4,2023
18,18,19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,0.0126582278481012,Low,9,2023
19,19,20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,0.4430379746835443,,11,2023
20,20,21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,0.240506329113924,Madium,1,2023
21,21,22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,0.0379746835443038,Low,10,2023
22,22,23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,0.0481012658227848,Madium,4,2023
23,23,24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,0.1392405063291139,Madium,11,2023
24,24,25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,0.0126582278481012,Low,12,2023
25,25,26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,0.4936708860759494,High,10,2023
26,26,27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,0.0126582278481012,Low,8,2023
27,27,28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,0.240506329113924,Madium,4,2023
28,28,29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,0.0025316455696202,Low,8,2023
29,29,30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,0.4430379746835443,,10,2023
30,30,31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,0.5949367088607594,High,5,2023
31,31,32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,0.0329113924050632,Low,1,2023
32,32,33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,0.0379746835443038,Low,3,2023
33,33,34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,0.0632911392405063,Madium,12,2023
34,34,35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,0.4430379746835443,,8,2023
35,35,36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,0.4430379746835443,,6,2023
36,36,37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,0.0253164556962025,Low,5,2023
37,37,38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,0.0886075949367088,Madium,3,2023
38,38,39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,0.0481012658227848,Madium,4,2023
39,39,40,2023-06-22,CUST040,Male,45,Beauty,1,50,50,0.0126582278481012,Low,6,2023
40,40,41,2023-02-22,CUST041,Male,34,Clothing,2,25,50,0.0126582278481012,Low,2,2023
41,41,42,2023-02-17,CUST042,Male,22,Clothing,3,300,900,0.4430379746835443,,2,2023
42,42,43,2023-07-14,CUST043,Female,48,Clothing,1,300,300,0.1392405063291139,Madium,7,2023
43,43,44,2023-02-19,CUST044,Female,22,Clothing,1,25,25,0.0,Low,2,2023
44,44,45,2023-07-03,CUST045,Female,55,Electronics,1,30,30,0.0025316455696202,Low,7,2023
45,45,46,2023-06-26,CUST046,Female,20,Electronics,4,300,1200,0.5949367088607594,High,6,2023
46,46,47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500,0.7468354430379747,High,11,2023
47,47,48,2023-05-16,CUST048,Male,54,Electronics,3,300,900,0.4430379746835443,,5,2023
48,48,49,2023-01-23,CUST049,Female,54,Electronics,2,500,1000,0.4936708860759494,High,1,2023
49,49,50,2023-08-24,CUST050,Female,27,Beauty,3,25,75,0.0253164556962025,Low,8,2023
50,50,51,2023-10-02,CUST051,Male,27,Beauty,3,25,75,0.0253164556962025,Low,10,2023
51,51,52,2023-03-05,CUST052,Female,36,Beauty,1,300,300,0.1392405063291139,Madium,3,2023
52,52,53,2023-07-13,CUST053,Male,34,Electronics,2,50,100,0.0379746835443038,Low,7,2023
53,53,54,2023-02-10,CUST054,Female,38,Electronics,3,500,1500,0.7468354430379747,High,2,2023
54,54,55,2023-10-10,CUST055,Male,31,Beauty,4,30,120,0.0481012658227848,Madium,10,2023
55,55,56,2023-05-31,CUST056,Female,26,Clothing,3,300,900,0.4430379746835443,,5,2023
56,56,57,2023-11-18,CUST057,Female,63,Beauty,1,30,30,0.0025316455696202,Low,11,2023
57,57,58,2023-11-13,CUST058,Male,18,Clothing,4,300,1200,0.5949367088607594,High,11,2023
58,58,59,2023-07-05,CUST059,Male,62,Clothing,1,50,50,0.0126582278481012,Low,7,2023
59,59,60,2023-10-23,CUST060,Male,30,Beauty,3,50,150,0.0632911392405063,Madium,10,2023
60,60,61,2023-04-09,CUST061,Male,21,Beauty,4,50,200,0.0886075949367088,Madium,4,2023
61,61,62,2023-12-27,CUST062,Male,18,Beauty,2,50,100,0.0379746835443038,Low,12,2023
62,62,63,2023-02-05,CUST063,Male,57,Electronics,2,25,50,0.0126582278481012,Low,2,2023
63,63,64,2023-01-24,CUST064,Male,49,Clothing,4,25,100,0.0379746835443038,Low,1,2023
64,64,65,2023-12-05,CUST065,Male,51,Electronics,4,500,2000,1.0,High,12,2023
65,65,66,2023-04-27,CUST066,Female,45,Electronics,1,30,30,0.0025316455696202,Low,4,2023
66,66,67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200,0.5949367088607594,High,5,2023
67,67,68,2023-02-10,CUST068,Male,25,Electronics,1,300,300,0.1392405063291139,Madium,2,2023
68,68,69,2023-04-30,CUST069,Female,56,Beauty,3,25,75,0.0253164556962025,Low,4,2023
69,69,70,2023-02-21,CUST070,Female,43,Clothing,1,300,300,0.1392405063291139,Madium,2,2023
70,70,71,2023-07-14,CUST071,Female,51,Beauty,4,25,100,0.0379746835443038,Low,7,2023
71,71,72,2023-05-23,CUST072,Female,20,Electronics,4,500,2000,1.0,High,5,2023
